Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sat Jan 1 2022,6:30p,New Orleans Pelicans,113,Milwaukee Bucks,136,Box Score,,17341,Fiserv Forum,
Sat Jan 1 2022,7:00p,San Antonio Spurs,116,Detroit Pistons,117,Box Score,OT,18911,Little Caesars Arena,
Sat Jan 1 2022,7:00p,Chicago Bulls,120,Washington Wizards,119,Box Score,,19043,Capital One Arena,
Sat Jan 1 2022,7:30p,Los Angeles Clippers,120,Brooklyn Nets,116,Box Score,,17732,Barclays Center,
Sat Jan 1 2022,8:00p,Denver Nuggets,124,Houston Rockets,111,Box Score,,18055,Toyota Center,
Sat Jan 1 2022,9:00p,Golden State Warriors,123,Utah Jazz,116,Box Score,,18306,Vivint Smart Home Arena,
Sun Jan 2 2022,3:30p,New York Knicks,105,Toronto Raptors,120,Box Score,,0,Scotiabank Arena,
Sun Jan 2 2022,6:00p,Orlando Magic,111,Boston Celtics,116,Box Score,OT,19156,TD Garden,
Sun Jan 2 2022,6:00p,Indiana Pacers,104,Cleveland Cavaliers,108,Box Score,,17808,Rocket Mortgage Fieldhouse,
Sun Jan 2 2022,6:00p,Miami Heat,113,Sacramento Kings,115,Box Score,,13699,Golden 1 Center,
Sun Jan 2 2022,7:00p,Phoenix Suns,133,Charlotte Hornets,99,Box Score,,19088,Spectrum Center,
Sun Jan 2 2022,7:00p,Dallas Mavericks,95,Oklahoma City Thunder,86,Box Score,,14751,Paycom Center,
Sun Jan 2 2022,9:30p,Minnesota Timberwolves,103,Los Angeles Lakers,108,Box Score,,18343,Crypto.com Arena,
Mon Jan 3 2022,7:00p,Houston Rockets,113,Philadelphia 76ers,133,Box Score,,20026,Wells Fargo Center,
Mon Jan 3 2022,7:00p,Charlotte Hornets,121,Washington Wizards,124,Box Score,,8902,Capital One Arena,
Mon Jan 3 2022,7:30p,Memphis Grizzlies,118,Brooklyn Nets,104,Box Score,,17089,Barclays Center,
Mon Jan 3 2022,8:00p,Orlando Magic,98,Chicago Bulls,102,Box Score,,20502,United Center,
Mon Jan 3 2022,8:00p,Detroit Pistons,115,Milwaukee Bucks,106,Box Score,,17341,Fiserv Forum,
Mon Jan 3 2022,8:00p,Utah Jazz,115,New Orleans Pelicans,104,Box Score,,15057,Smoothie King Center,
Mon Jan 3 2022,8:30p,Denver Nuggets,89,Dallas Mavericks,103,Box Score,,19767,American Airlines Center,
Mon Jan 3 2022,10:00p,Miami Heat,108,Golden State Warriors,115,Box Score,,18064,Chase Center,
Mon Jan 3 2022,10:00p,Atlanta Hawks,131,Portland Trail Blazers,136,Box Score,,15091,Moda Center,
Mon Jan 3 2022,10:30p,Minnesota Timberwolves,122,Los Angeles Clippers,104,Box Score,,15959,Crypto.com Arena,
Tue Jan 4 2022,7:00p,Memphis Grizzlies,110,Cleveland Cavaliers,106,Box Score,,18178,Rocket Mortgage Fieldhouse,
Tue Jan 4 2022,7:00p,San Antonio Spurs,104,Toronto Raptors,129,Box Score,,0,Scotiabank Arena,
Tue Jan 4 2022,7:30p,Indiana Pacers,94,New York Knicks,104,Box Score,,18449,Madison Square Garden (IV),
Tue Jan 4 2022,8:00p,Phoenix Suns,123,New Orleans Pelicans,110,Box Score,,15158,Smoothie King Center,
Tue Jan 4 2022,10:30p,Sacramento Kings,114,Los Angeles Lakers,122,Box Score,,17919,Crypto.com Arena,
Wed Jan 5 2022,7:00p,Detroit Pistons,111,Charlotte Hornets,140,Box Score,,14427,Spectrum Center,
Wed Jan 5 2022,7:00p,Philadelphia 76ers,116,Orlando Magic,106,Box Score,,13116,Amway Center,
Wed Jan 5 2022,7:00p,Houston Rockets,114,Washington Wizards,111,Box Score,,13014,Capital One Arena,
Wed Jan 5 2022,7:30p,San Antonio Spurs,99,Boston Celtics,97,Box Score,,19156,TD Garden,
Wed Jan 5 2022,7:30p,Golden State Warriors,82,Dallas Mavericks,99,Box Score,,20441,American Airlines Center,
Wed Jan 5 2022,7:30p,Brooklyn Nets,129,Indiana Pacers,121,Box Score,,14176,Gainbridge Fieldhouse,
Wed Jan 5 2022,8:00p,Toronto Raptors,117,Milwaukee Bucks,111,Box Score,,17341,Fiserv Forum,
Wed Jan 5 2022,8:00p,Oklahoma City Thunder,90,Minnesota Timberwolves,98,Box Score,,14375,Target Center,
Wed Jan 5 2022,10:00p,Utah Jazz,115,Denver Nuggets,109,Box Score,,14056,Ball Arena,
